################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1        183   8.2939760840753347E-28   1.4978091317109996E-01   1.0677410964823501E-02   9.4907852337522570E-03
         1        184   0.0000000000000000E+00   4.6005408942652581E-01   2.2113547439226661E-03   8.7554026145859314E-03
         1        185   0.0000000000000000E+00   4.6005408942652581E-01   2.2113547439226661E-03   8.7554026145859314E-03
         1        186   1.8754517955448218E-08   8.7517236502819329E-01   2.2996345426763165E-01   1.2331649471898691E-01
         1        187   0.0000000000000000E+00   2.3132620127021872E+00   5.1161471646173129E-02   1.1985395795270787E-01
         1        188   0.0000000000000000E+00   2.3132620127021872E+00   5.1161471646173129E-02   1.1985395795270787E-01
         1        189   2.5631666752273091E-04   1.4962477805095073E+01   5.2471841186546415E+00   2.4318049370818535E+00
         1        190   0.0000000000000000E+00   1.9462229331326078E+01   8.2330449053004928E-01   1.5582880650657756E+00
         1        191   0.0000000000000000E+00   1.9462229331326078E+01   8.2330449053004928E-01   1.5582880650657756E+00
         1        192   1.2594346499706778E-03   3.6791573493491185E+01   1.4383821030372008E+01   6.5389401638193849E+00
         1        193   0.0000000000000000E+00   5.0382448318694181E+01   2.3433726681006508E+00   4.3503501713588175E+00
         1        194   0.0000000000000000E+00   5.0382448318694181E+01   2.3433726681006508E+00   4.3503501713588175E+00
         1        195   4.3515502165138437E-05   6.7547938994722800E+00   2.1194128817969555E+00   1.0158648652605677E+00
         1        196   0.0000000000000000E+00   9.3457247121304956E+00   3.3350091625849559E-01   6.5245767414693601E-01
         1        197   0.0000000000000000E+00   9.3457247121304956E+00   3.3350091625849559E-01   6.5245767414693601E-01
         1        198   1.0604394931046932E-03   2.8758711630437620E+01   1.1256049793514297E+01   5.1225285538889649E+00
         1        199   0.0000000000000000E+00   4.0432426320388011E+01   1.8535690938291010E+00   3.4440621408261776E+00
         1        200   0.0000000000000000E+00   4.0432426320388011E+01   1.8535690938291010E+00   3.4440621408261776E+00
         1        201   9.0547141081423975E-07   2.7022095116087788E+00   7.1870166345640774E-01   3.6773003902662477E-01
         1        202   0.0000000000000000E+00   3.9766079821157523E+00   1.1518160777461321E-01   2.3927829287468816E-01
