################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.4384817538529198E-01 a       383     0    32     1    11
 -6.5606787897565747E-03 a       384     0    32     1    12
  9.7439367826641576E-01 a       385     0    33     1     1
 -1.4371252109392305E-01 a       386     0    33     1     2
  5.8045304335812453E-01 a       387     0    33     1     3
  1.6035200551326561E+00 a       388     0    33     1     4
  1.6403937754750794E-01 a       389     0    33     1     5
 -7.9441284517810384E-01 a       390     0    33     1     6
  8.9212158618017667E-01 a       391     0    33     1     7
 -1.0268018968908661E+00 a       392     0    33     1     8
 -2.6465117857198261E-01 a       393     0    33     1     9
  2.8333070275553174E-01 a       394     0    33     1    10
 -1.2016044181341956E+00 a       395     0    33     1    11
  3.1895019848008571E-01 a       396     0    33     1    12
 -4.6816566593448892E+00 a       397     0    34     1     1
  6.2173914574466382E-01 a       398     0    34     1     2
 -3.8821348073038511E+00 a       399     0    34     1     3
  3.1546173913018016E+00 a       400     0    34     1     4
 -3.0774114557791027E-01 a       401     0    34     1     5
 -7.7042480736958852E-01 a       402     0    34     1     6
 -1.5982336877665280E+00 a       403     0    34     1     7
  3.5568213802332833E+00 a       404     0    34     1     8
 -1.2065559193225441E+00 a       405     0    34     1     9
 -3.0799056804875655E+00 a       406     0    34     1    10
  7.4593470484118540E-01 a       407     0    34     1    11
  1.3158671910021820E+00 a       408     0    34     1    12
 -1.2812207164342910E+01 a       409     0    35     1     1
  2.8772409909144434E+00 a       410     0    35     1     2
  3.9076023096026504E+00 a       411     0    35     1     3
 -6.9735656334878744E+00 a       412     0    35     1     4
  2.5885853299736592E+00 a       413     0    35     1     5
  3.9652404875396527E+00 a       414     0    35     1     6
  6.8344522267820835E+00 a       415     0    35     1     7
 -3.0005639723782545E+00 a       416     0    35     1     8
 -7.1159500391958230E-01 a       417     0    35     1     9
  2.8780881584628459E+00 a       418     0    35     1    10
  1.0133063520390873E+01 a       419     0    35     1    11
 -1.6516855457190114E+00 a       420     0    35     1    12
  4.6749439505381778E+00 a       421     0    36     1     1
 -1.8414878323819561E+00 a       422     0    36     1     2
 -1.3759936597108570E+01 a       423     0    36     1     3
  8.4449195376781319E+00 a       424     0    36     1     4
 -4.3866936857465149E+00 a       425     0    36     1     5
 -1.2153129833916346E+01 a       426     0    36     1     6
 -1.0822511785298099E+01 a       427     0    36     1     7
  9.0061703012442909E+00 a       428     0    36     1     8
 -7.8016066669795228E+00 a       429     0    36     1     9
 -2.3508384181649489E+00 a       430     0    36     1    10
  7.9289059008769280E+00 a       431     0    36     1    11
  8.0674709400470412E+00 a       432     0    36     1    12
  1.1167327129510369E-02 a       433     0    37     1     1
 -1.1116609316837547E-01 a       434     0    37     1     2
  4.7165734506956414E-01 a       435     0    37     1     3
  5.6883858815699595E-01 a       436     0    37     1     4
 -5.9777979184995966E-01 a       437     0    37     1     5
 -1.2164607414559492E-01 a       438     0    37     1     6
 -4.1321347111849499E-01 a       439     0    37     1     7
  2.1476504979715608E-01 a       440     0    37     1     8
 -1.0529497324002912E-02 a       441     0    37     1     9
